naslov,avtor,ocena,score,glasovalci
A Song of Ice and Fire,George R.R. Martin,4.63,192.0,2

Dark Age,Felix O. Hartmann,3.83,192.0,2

A Gathering of Shadows,V.E. Schwab,4.28,192.0,2

Being Mortal: Medicine and What Matters in the End,Atul Gawande,4.45,192.0,3

Green Chic: Saving the Earth in Style,Christie Matheson,3.59,191.0,2

Fatal Voyage,Kathy Reichs,4.04,191.0,3

The Cracked Mirror: Reflections of an Appalachian Son,Billy Ray Chitwood,4.75,191.0,2

Beautiful Redemption,Kami Garcia,3.93,191.0,2

Zorro,Isabel Allende,3.76,191.0,2

Even the Dogs,Jon McGregor,3.47,191.0,2

Headhunters,Jo Nesbø,3.78,191.0,2

To Marry a Scottish Laird,Lynsay Sands,3.98,191.0,2

Far North,Marcel Theroux,3.79,191.0,2

Taipei,Tao Lin,3.28,191.0,2

And the Hippos Were Boiled in Their Tanks,William S. Burroughs,3.72,191.0,2

On the Road: the Original Scroll,Jack Kerouac,4.13,191.0,2

Spell Bound,Kelley Armstrong,4.22,191.0,3

Exile,Shannon Messenger,4.56,191.0,2

Milk and Honey,Rupi Kaur,4.1,191.0,2

Sleeping Giants,Sylvain Neuvel,3.84,191.0,2

Eliza and Her Monsters,Francesca Zappia,4.24,191.0,2

A Curious Earth,Gerard Woodward,3.63,190.0,2

Too Big to Fail: The Inside Story of How Wall Street and Washington Fought to Save the Financial System from Crisis — and Themselves,Andrew Ross Sorkin,4.13,190.0,2

600 Hours of Edward,Craig Lancaster,4.12,190.0,2

Who Says You Can't Go Home?,Jaimie Hope,4.63,190.0,2

The Adventures of Baby Jaimie,Jaimie Hope,4.67,190.0,2

Hey Nostradamus!,Douglas Coupland,3.71,190.0,3

Deviant Nightmares,Joseph Sweet,4.86,190.0,2

"The Walking Dead, Vol. 1: Days Gone Bye",Robert Kirkman,4.27,190.0,4

The Gifts of Imperfection,Brené Brown,4.21,190.0,2

This Season... Have Love/Have Faith,Tamara Philip,4.4,190.0,2

The Trouble with Romance,Tamara Philip,4.56,190.0,2

La Petite Bijou,Patrick Modiano,3.46,190.0,2

Neverseen,Shannon Messenger,4.67,190.0,2

The Difficulty of Being Good: On the Subtle Art of Dharma,Gurcharan Das,4.09,190.0,2

The Scribbler Guardian,Lucian Bane,4.23,190.0,2

The Liberated Bride,A.B. Yehoshua,3.77,189.0,2

A Good Year,Peter Mayle,3.66,189.0,3

Armed Madhouse: From Baghdad to New Orleans--Sordid Secrets and Strange Tales of a White House Gone Wild,Greg Palast,4.04,189.0,2

Debunking 9/11 Debunking: An Answer to Popular Mechanics &amp; Other Defenders of the Official Conspiracy Theory,David Ray Griffin,4.01,189.0,2

Armageddon: The Cosmic Battle of the Ages,Tim LaHaye,4.03,189.0,2

Magic Burns,Ilona Andrews,4.33,189.0,3

The Human Obsession,Heath Sommer,4.14,189.0,2

Sons of Fortune,Jeffrey Archer,3.87,189.0,2

Blind Faith,Ben Elton,3.71,189.0,2

"Truly, Madly, Deeply",Faraaz Kazi,3.59,189.0,2

The Psychopath Test: A Journey Through the Madness Industry,Jon Ronson,3.94,189.0,3

The Forty Rules of Love,Elif Shafak,4.15,189.0,2

Everblaze,Shannon Messenger,4.63,189.0,2

A Darker Shade of Magic,V.E. Schwab,4.09,189.0,2

Epileptic,David B.,3.88,188.0,2

Abundance,Sena Jeter Naslund,3.73,188.0,3

Lord of the Shadows,Jennifer Fallon,4.25,188.0,2

Hope for Animals and Their World: How Endangered Species Are Being Rescued from the Brink,Jane Goodall,4.13,188.0,2

Once We Were Brothers,Ronald H. Balson,4.32,188.0,2

The Complete Quotations of Friedrich Nietzsche,Friedrich Nietzsche,4.2,188.0,2

The Tao of Wu,The RZA,4.08,188.0,2

Odyssey One,Evan Currie,4.06,188.0,2

Everything I Never Told You,Celeste Ng,3.85,188.0,2

"I, Coriander",Sally Gardner,3.82,188.0,2

Mortals,Norman Rush,3.74,187.0,2

"The American Plague: The Untold Story of Yellow Fever, the Epidemic That Shaped Our History",Molly Caldwell Crosby,3.89,187.0,2

The 9/11 Commission Report: Omissions and Distortions,David Ray Griffin,4.09,187.0,2

Intwine,Christina Moss,3.97,187.0,2

The Grand Delusion,Heath Sommer,4.14,187.0,2

"Beware, Princess Elizabeth",Carolyn Meyer,3.88,187.0,3

La Mécanique du cœur,Mathias Malzieu,3.6,187.0,2

Sun Kissed,Catherine Anderson,4.09,187.0,2

Timeless,Gail Carriger,4.13,187.0,2

Shroud of Darkness,C.S. Woolley,4.8,187.0,2

The Daylight Gate,Jeanette Winterson,3.35,187.0,2

Book of Longing,Leonard Cohen,4.03,187.0,2

Sudden Sea: The Great Hurricane of 1938,R.A. Scotti,4.02,186.0,2

The Remnant,Tim LaHaye,4.02,186.0,2

Desecration,Tim LaHaye,4.01,186.0,2

Travels with Herodotus,Ryszard Kapuściński,4.06,186.0,2

The High Lord,Trudi Canavan,4.14,186.0,3

Night Road,Kristin Hannah,4.17,186.0,2

Blue Skies,Catherine Anderson,4.16,186.0,2

Morning Light,Catherine Anderson,4.03,186.0,2

Only By Your Touch,Catherine Anderson,4.16,186.0,2

Red Country,Joe Abercrombie,4.3,186.0,3

Salt Sugar Fat: How the Food Giants Hooked Us,Michael Moss,3.99,186.0,2

Lincoln's Melancholy: How Depression Challenged a President and Fueled His Greatness,Joshua Wolf Shenk,4.09,186.0,2

Ignite Me,Tahereh Mafi,4.42,186.0,2

The Slippery Slope,Lemony Snicket,4.02,186.0,4

The Rosie Effect,Graeme Simsion,3.6,186.0,4

Mortal Coil,Derek Landy,4.47,186.0,2

Devil Bones,Kathy Reichs,3.9,185.0,3

Pan Lodowego Ogrodu. Tom 1,Jarosław Grzędowicz,4.28,185.0,2

Jaya: An Illustrated Retelling of the Mahabharata,Devdutt Pattanaik,4.21,185.0,2

Pirates!,Celia Rees,3.82,185.0,3

Murder in Pueblo del Mar,Billy Ray Chitwood,4.6,185.0,2

Roses,Leila Meacham,4.04,185.0,2

Logos,Cheryl Anne Gardner,4.11,185.0,2

The Thin Wall,Cheryl Anne Gardner,4.09,185.0,2

The Kissing Room,Cheryl Anne Gardner,4.36,185.0,2

And Death Dreamt Us All,Cheryl Anne Gardner,4.62,185.0,2

Don't Pay the Ferryman,Marcus J. Mastin,3.9,185.0,2

Don't Fear the Reaper,Marcus J. Mastin,3.0,185.0,2

Earth's Survivors Rising from the Ashes,Wendell G. Sweet,3.84,185.0,2

Bitterblue,Kristin Cashore,4.0,185.0,3

Ugly Love,Colleen Hoover,4.26,185.0,2

Lila,Marilynne Robinson,3.92,185.0,3

La catedral del mar,Ildefonso Falcones,4.1,185.0,3

Breath,Tim Winton,3.86,185.0,2

Nikola Tesla: Imagination and the Man That Invented the 20th Century,Sean Patrick,3.86,185.0,2

One Plus One,Jojo Moyes,3.95,185.0,3

Children of Time,Adrian Tchaikovsky,4.29,185.0,2

"Nazi Germany and the Jews: The Years of Extermination, 1939-1945",Saul Friedländer,4.23,184.0,3

The Last Child,John Hart,4.13,184.0,3

A Girl Named Zippy,Haven Kimmel,3.8,184.0,2

Hunting and Gathering,Anna Gavalda,4.11,184.0,2

I Love You Baby Girl,Desire Night,3.76,184.0,2

"Churchill, Hitler and ""The Unnecessary War"": How Britain Lost Its Empire and the West Lost the World",Patrick J. Buchanan,4.03,184.0,2

The Checklist Manifesto: How to Get Things Right,Atul Gawande,4.05,184.0,3

Golden Son,Pierce Brown,4.45,184.0,2

Back When We Were Grownups,Anne Tyler,3.52,183.0,2

"In Revere, In Those Days",Roland Merullo,4.1,183.0,2

Ava's Man,Rick Bragg,4.23,183.0,3

Fever,Lauren DeStefano,3.78,183.0,3

Phantom Waltz,Catherine Anderson,4.18,183.0,2

My Sunshine,Catherine Anderson,4.17,183.0,2

Rose Under Fire,Elizabeth Wein,4.15,183.0,2

The Dragon Keeper,Robin Hobb,3.94,183.0,2

"Dom Wars: Round 4, 5, 6",Lucian Bane,4.28,183.0,2

Salmon Fishing in the Yemen,Paul Torday,3.53,183.0,2

Death's End,Liu Cixin,4.44,183.0,2

Kingdom of the Wicked,Derek Landy,4.51,183.0,2

Slade House,David Mitchell,3.81,183.0,3

The Plague of Doves,Louise Erdrich,3.77,182.0,2

MirrorMask,Neil Gaiman,3.87,182.0,2

Everfound,Neal Shusterman,4.3,182.0,2

White Wolf,David Gemmell,4.27,182.0,2

The Manufactured Identity,Heath Sommer,3.51,182.0,2

Patient Zero,Jonathan Maberry,3.98,182.0,2

"The Walking Dead, Book One",Robert Kirkman,4.35,182.0,4

Hood,Stephen R. Lawhead,3.88,182.0,3

The End of Your Life Book Club,Will Schwalbe,3.81,182.0,2

The Rise of Nine,Pittacus Lore,4.18,182.0,2

There but for the,Ali Smith,3.44,182.0,3

The Hare With Amber Eyes: A Family's Century of Art and Loss,Edmund de Waal,3.88,182.0,3

Eventide,Kent Haruf,4.2,182.0,2

Tishomingo Blues,Elmore Leonard,3.69,182.0,2

The Shell Collector,Anthony Doerr,4.03,182.0,2

The Target,David Baldacci,4.07,182.0,2

Little Star,John Ajvide Lindqvist,3.63,182.0,2

Dirt Music,Tim Winton,3.86,182.0,2

Mothering Sunday,Graham Swift,3.71,182.0,2

Lucky Girls,Nell Freudenberger,3.43,181.0,2

The Religion of Darwinism: A Pagan Doctrine from Ancient Times Prevalent until Today,Harun Yahya,3.0,181.0,2

Ice in My Veins,Kelli Sullivan,3.77,181.0,2

The Sweet Far Thing,Libba Bray,3.97,181.0,3

This Lullaby,Sarah Dessen,4.03,181.0,3

Angels' Blood,Nalini Singh,4.1,181.0,2

A Taste of Greek,Tina Folsom,4.12,181.0,3

Elephant Company: The Inspiring Story of an Unlikely Hero and the Animals Who Helped Him Save Lives in World War II,Vicki Constantine Croke,4.23,181.0,2

The Gathering Storm,Robert Jordan,4.37,181.0,3

False Gods,Graham McNeill,4.09,181.0,2

Blindsight,Peter Watts,4.01,180.0,2

Mastiff,Tamora Pierce,4.26,180.0,2

Chanakya's Chant,Ashwin Sanghi,3.72,180.0,2

Here to Stay,Catherine Anderson,4.08,180.0,2

Bite Me,Christopher Moore,3.86,180.0,2

Revelations,Lucian Bane,4.31,180.0,2

Carry On,Rainbow Rowell,4.24,180.0,2

Hollow City,Ransom Riggs,4.07,180.0,2

Horus Rising,Dan Abnett,4.19,180.0,2

"Zero to One: Notes on Startups, or How to Build the Future",Peter Thiel,4.17,180.0,2

The Dying of the Light,Derek Landy,4.63,180.0,2

Origin,Dan Brown,3.86,180.0,2

Blindsighted,Karin Slaughter,4.09,179.0,2

Confessions of the Evolutionists,Harun Yahya,3.71,179.0,2

Slave to Sensation,Nalini Singh,4.12,179.0,3

The Gift of Rain,Tan Twan Eng,4.23,179.0,3

The Ersatz Elevator,Lemony Snicket,4.03,179.0,3

Serena,Ron Rash,3.53,179.0,2

The Shock of the Fall,Nathan Filer,3.77,179.0,2

God's War,Kameron Hurley,3.65,179.0,2

Measuring the World,Daniel Kehlmann,3.73,179.0,2

Mozart's Sister,Nancy Moser,3.57,178.0,2

Oracle Bones: A Journey Between China's Past and Present,Peter Hessler,4.18,178.0,2

The Apothecary,Maile Meloy,4.04,178.0,3

Private Games,James Patterson,3.85,178.0,2

Flight,Sherman Alexie,3.89,178.0,2

Best Kept Secret,Jeffrey Archer,3.98,178.0,3

The Warded Man,Peter V. Brett,4.26,178.0,3

Last Night at the Lobster,Stewart O&#39;Nan,3.55,178.0,4


